stage_name,avg_ttft,p50_ttft,p99_ttft,avg_per_token_latency,p50_per_token_latency,p99_per_token_latency,avg_total_time,avg_tokens_per_second,total_tokens_generated,avg_memory_mb,avg_gpu_memory_mb,num_samples,ttft_speedup,throughput_speedup,latency_improvement
Vanilla HF Transformers,0.041256979175343045,0.03410232784117713,0.14286770045286176,0.034302442361482124,0.034049455875003076,0.035294316927151674,10.376644734540895,27.59983963967992,66551,2.0507457386363637,2953.5344016335225,220,1.0,1.0,0.0
vLLM Production,0.015666413483721373,0.01562291244482861,0.016107572245529254,0.01564746096608365,0.015615050082033122,0.015933002205519818,4.997301158809106,63.83565834172806,70261,0.0,9.125,220,2.6334667611200397,2.312899610110502,54.38382841318019
vLLM + Kernel Fusion,0.013290762736630914,0.013263035511408948,0.013587922607997061,0.01329268472602212,0.013261579524121103,0.013589882016700904,4.245260552432,75.24311687500753,70261,0.0,9.125,220,3.104184462012397,2.726215726515726,61.2485764542867
